media_coverage
アクション名,アクションタイプ,類似業績マージ優先度,ID,公開の有無,主要な業績かどうか,タイトル(日本語),タイトル(英語),執筆者,発行元・放送局(日本語),発行元・放送局(英語),番組・新聞雑誌名(日本語),番組・新聞雑誌名(英語),報道年月,掲載箇所(日本語),掲載箇所(英語),種別,概要(日本語),概要(英語),URL
insert,merge,null,null,disclosed,FALSE,null,"interiqr tech prints edible, informational QR codes right into foods",other_than_myself,null,New Atlas,null,New Atlas,2022-04-27,null,null,internet,null,null,null
insert,merge,null,null,disclosed,FALSE,null,Food DX Through Unobtrusive Edible Tags using Food 3D Printing,other_than_myself,null,The ACM Symposium on User Interface Software and Technology (UIST),null,The ACM Symposium on User Interface Software and Technology (UIST),2023-04-27,null,null,internet,null,null,https://www.dropbox.com/s/0v4rypppd5t4pc8/UIST_2022_Interiqr_Miyatake.pdf?dl=0
